agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,switches_mean
Dot,structured,0.0,5,-2.420118687833604,9.63400004430007,0.0,0.0,-2.420118687833604,9.63400004430007,0.09,0.0,-2.510118687833604,9.634000044300072,0.0,0.0
Dot,structured,0.0,10,1.4914954765623563,9.583124121465923,0.0,0.0,1.4914954765623563,9.583124121465923,0.09,0.0,1.4014954765623562,9.583124121465923,0.0,0.0
Dot,structured,0.0,20,-1.726002682626207,9.773390925145677,0.0,0.0,-1.726002682626207,9.773390925145677,0.09,0.0,-1.8160026826262066,9.773390925145677,0.0,0.0
Dot,structured,0.0,50,0.5284291402469181,9.079519332969648,0.0,0.0,0.5284291402469181,9.079519332969648,0.09,0.0,0.4384291402469182,9.079519332969648,0.0,0.0
Dot,structured,1.0,5,-2.2947897432244555,7.217079089438851,60.72527191413669,85.91207950172888,-63.02006165736114,89.21681567362137,0.09,0.0,-63.110061657361136,89.21681567362137,40.78,0.0
Dot,structured,1.0,10,-2.1261817454709826,10.874242073985569,174.1712638541999,222.64524443926328,-176.2974455996709,226.29799410698985,0.09,0.0,-176.3874455996709,226.29799410698985,17.72,0.0
Dot,structured,1.0,20,0.24063084906864937,10.038672399833462,118.49247098741898,175.238932505765,-118.25184013835033,179.81948553857052,0.09,0.0,-118.34184013835032,179.8194855385705,6.82,0.0
Dot,structured,1.0,50,-0.5782216109579715,9.853730919528715,70.23419669976805,103.21801149878513,-70.81241831072603,104.52513228670486,0.09,0.0,-70.90241831072602,104.52513228670486,2.56,0.0
Dot,unstructured,0.0,5,1.6843340670616356,10.23064674917841,0.0,0.0,1.6843340670616356,10.23064674917841,0.09,0.0,1.5943340670616357,10.23064674917841,0.0,0.0
Dot,unstructured,0.0,10,1.1830793925693837,8.080034142179617,0.0,0.0,1.1830793925693837,8.080034142179617,0.09,0.0,1.0930793925693836,8.080034142179617,0.0,0.0
Dot,unstructured,0.0,20,-0.23194076815326678,8.14209073192042,0.0,0.0,-0.23194076815326678,8.14209073192042,0.09,0.0,-0.3219407681532666,8.14209073192042,0.0,0.0
Dot,unstructured,0.0,50,0.9935941492852924,9.855542064695397,0.0,0.0,0.9935941492852924,9.855542064695397,0.09,0.0,0.9035941492852924,9.855542064695397,0.0,0.0
Dot,unstructured,1.0,5,-1.1277433891881212,8.94460956016394,84.52604591402418,97.53669818793043,-85.6537893032123,97.14873271285954,0.09,0.0,-85.74378930321231,97.14873271285953,42.84,0.0
Dot,unstructured,1.0,10,1.132511561176235,8.455659091786105,95.43721908110658,160.382160972233,-94.30470751993035,158.4105677200315,0.09,0.0,-94.39470751993035,158.4105677200315,20.54,0.0
Dot,unstructured,1.0,20,-1.687952252981946,8.247220510967665,82.35681732269774,112.17002416807532,-84.0447695756797,113.00807852661855,0.09,0.0,-84.1347695756797,113.00807852661855,9.7,0.0
Dot,unstructured,1.0,50,-0.8723292269135134,9.83606790592453,68.5334294418764,105.73142857778305,-69.4057586687899,106.95116224793667,0.09,0.0,-69.4957586687899,106.95116224793667,4.26,0.0
Linear,structured,0.0,5,83.86247445319493,31.861879175101315,0.0,0.0,83.86247445319493,31.861879175101315,0.8755200000000001,0.007985292603228996,82.98695445319494,31.862412481021668,0.0,0.0
Linear,structured,0.0,10,84.16266958179857,34.46862246452849,0.0,0.0,84.16266958179857,34.46862246452849,1.34114,0.020182847840153145,82.82152958179857,34.467997270957525,0.0,0.0
Linear,structured,0.0,20,87.20480802555385,32.31692064144721,0.0,0.0,87.20480802555385,32.31692064144721,2.27346,0.04663676836215499,84.93134802555383,32.31401971845643,0.0,0.0
Linear,structured,0.0,50,73.0448940786661,37.313764624700035,0.0,0.0,73.0448940786661,37.313764624700035,5.08836,0.12033486610288793,67.95653407866611,37.32831786860137,0.0,0.0
Linear,structured,1.0,5,53.99884692729395,43.31385084190605,2041.804568124012,2198.2311330588013,-1987.805721196718,2177.4033926673656,0.87264,0.010640239371252476,-1988.6783611967178,2177.403262246095,33.94,0.0
Linear,structured,1.0,10,65.04328316341635,42.86347823290542,1388.6732673337121,1340.3246076250102,-1323.6299841702958,1344.839114084406,1.34258,0.02248272806454973,-1324.9725641702958,1344.8401684622363,32.24,0.0
Linear,structured,1.0,20,45.048969549096476,42.71217662627048,666.9316272302488,788.9698940118036,-621.8826576811523,787.6117297013791,2.2746,0.04669833716394559,-624.1572576811523,787.6148321327071,13.58,0.0
Linear,structured,1.0,50,62.02170683133243,44.7314673840403,1136.3790394315783,1623.325194693642,-1074.3573326002459,1608.6441002434635,5.07268,0.11689790417282937,-1079.4300126002458,1608.6379101825557,6.3,0.0
Linear,unstructured,0.0,5,85.01142530028827,31.564640821014567,0.0,0.0,85.01142530028827,31.564640821014567,0.87424,0.008443231802177788,84.13718530028825,31.563554254055926,0.0,0.0
Linear,unstructured,0.0,10,88.91772982437404,40.22459072362984,0.0,0.0,88.91772982437404,40.22459072362984,1.3422200000000002,0.02227590443432873,87.57550982437404,40.225804884164056,0.0,0.0
Linear,unstructured,0.0,20,84.8122353179921,36.48840315429212,0.0,0.0,84.8122353179921,36.48840315429212,2.27992,0.03941606426888642,82.5323153179921,36.49220931817927,0.0,0.0
Linear,unstructured,0.0,50,88.79858774274271,39.18724497096223,0.0,0.0,88.79858774274271,39.18724497096223,5.0962,0.11587061750072775,83.70238774274272,39.22722714153956,0.0,0.0
