seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,dual_rate,dual_rate_cond,E_abs_mean,expansions,contractions,revisions,contract_evals,steps_factor,steps_tabular
0,Dot,50,5,300,0.0,recovery,5.786808575029214,0.0,5.786808575029214,0.31,5.476808575029215,0.0,0.0,0.0,7.6732748742605565,0.0,0.0,0.0,0.0,0.0,0.0
0,Linear,50,5,300,0.0,recovery,405.97181119061014,0.0,405.97181119061014,16.618000000000002,389.35381119061014,0.0,0.0,0.0,179.87450345092103,0.0,0.0,0.0,0.0,0.0,0.0
0,Thompson-Factor,50,5,300,0.0,recovery,225.63407477070416,0.0,225.63407477070416,4.65,220.98407477070415,0.0,0.0,0.0,144.29956271795461,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-Full,50,5,300,0.0,recovery,255.33982832547588,0.0,255.33982832547588,6.147,249.1928283254759,0.0,0.0,0.0,15.46089862959582,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoContract,50,5,300,0.0,recovery,384.7216374490135,0.0,384.7216374490135,67.76,316.9616374490135,0.0,0.0,0.0,183.82076057867275,1.0,0.0,1.0,0.0,26.0,274.0
0,Network-NoTest,50,5,300,0.0,recovery,175.32075459690844,0.0,175.32075459690844,6.093,169.22775459690845,0.0,0.0,0.0,57.13974979165431,0.0,0.0,0.0,0.0,300.0,0.0
0,Network-NoUpdate,50,5,300,0.0,recovery,210.93030174647626,0.0,210.93030174647626,6.0840000000000005,204.84630174647626,0.0,0.0,0.0,155.4599558762628,0.0,0.0,0.0,0.0,300.0,0.0
0,UCB1,50,5,300,0.0,recovery,246.65443880530052,0.0,246.65443880530052,15.05,231.6044388053005,0.0,0.0,0.0,14.562815883432085,0.0,0.0,0.0,0.0,0.0,0.0
0,HierBayes,50,5,300,0.0,recovery,218.30145598408566,0.0,218.30145598408566,7.15,211.15145598408566,0.0,0.0,0.0,98.88915552305214,0.0,0.0,0.0,0.0,300.0,0.0
0,RW-Feature,50,5,300,0.0,recovery,229.10874876657343,0.0,229.10874876657343,4.442,224.66674876657342,0.0,0.0,0.0,48.23476099363271,0.0,0.0,0.0,0.0,300.0,0.0
0,LatentFactorEM,50,5,300,0.0,recovery,293.54967493499225,0.0,293.54967493499225,95.05,198.49967493499224,0.0,0.0,0.0,75.05190351256637,0.0,0.0,0.0,0.0,300.0,0.0
0,Dot,50,5,300,1.0,recovery,6.373158691059771,53.85242751380498,-47.47926882274521,0.31,-47.789268822745214,4.0,0.013333333333333334,0.013745704467353952,10.363726356255635,0.0,0.0,0.0,0.0,0.0,0.0
0,Linear,50,5,300,1.0,recovery,320.02448841807535,436.23928209008136,-116.21479367200601,16.618000000000002,-132.832793672006,0.0,0.0,0.0,17.134424584126805,0.0,0.0,0.0,0.0,0.0,0.0
