agent,structure,stakes,K,reward_mean,reward_std,penalty_mean,penalty_std,utility_mean,utility_std,cog_mean,cog_std,cau_mean,cau_std,dual_mean,dual_rate_mean,dual_rate_std,dual_rate_cond_mean,dual_rate_cond_std,E_abs_mean,expansions_mean,contractions_mean,revisions_mean,contract_evals_mean,steps_factor_mean,steps_tabular_mean
Dot,structured,0.0,20,1.0452242371547433,8.572730965095321,0.0,0.0,1.0452242371547433,8.572730965095321,0.09,0.0,0.9552242371547434,8.572730965095321,0.0,0.0,0.0,0.0,0.0,4.646309611189124,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,0.0,50,0.811671628869709,8.99623257403256,0.0,0.0,0.811671628869709,8.99623257403256,0.09,0.0,0.721671628869709,8.99623257403256,0.0,0.0,0.0,0.0,0.0,4.48383092948364,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,0.0,100,1.6746178572942616,8.342682684083506,0.0,0.0,1.6746178572942616,8.342682684083506,0.09,0.0,1.5846178572942617,8.342682684083506,0.0,0.0,0.0,0.0,0.0,4.898704714445012,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,0.0,200,-0.8543705786742578,9.082140887162815,0.0,0.0,-0.8543705786742578,9.082140887162815,0.09,0.0,-0.9443705786742577,9.082140887162815,0.0,0.0,0.0,0.0,0.0,4.63022869417777,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,1.0,20,-0.42804652201846316,9.72011604154025,128.24100322517032,187.62378765277543,-128.66904974718875,188.89799609931072,0.09,0.0,-128.75904974718878,188.89799609931075,8.66,0.10825,0.08994983169646413,0.1080165927464255,0.08987229292407212,5.6329071709440015,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,1.0,50,1.17723175779148,7.981778587194758,81.97141588673327,101.55774727989144,-80.79418412894178,101.76444872125477,0.09,0.0,-80.88418412894178,101.76444872125477,3.68,0.046,0.047536535656505535,0.04739847801832783,0.04807398884916913,5.382634456670326,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,1.0,100,1.2329709084745042,8.248182448868553,82.81390518818228,123.64617161324509,-81.58093427970776,125.00512235308423,0.09,0.0,-81.67093427970777,125.0051223530842,2.51,0.031375,0.04134325241441487,0.03232017333917063,0.04313012385899342,4.711356788548712,0.0,0.0,0.0,0.0,0.0,0.0
Dot,structured,1.0,200,-0.9278505355440642,9.25676183351732,101.09008950664925,157.80756447079128,-102.01794004219332,159.76404208110492,0.09,0.0,-102.10794004219332,159.76404208110492,2.69,0.033624999999999995,0.043472060863933924,0.033829022671061255,0.04478946380624419,4.798275487562801,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,0.0,20,-0.03236150997451095,8.78592326268441,0.0,0.0,-0.03236150997451095,8.78592326268441,0.09,0.0,-0.12236150997451084,8.78592326268441,0.0,0.0,0.0,0.0,0.0,4.116248945462049,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,0.0,50,-0.5666451138838431,9.656654482409273,0.0,0.0,-0.5666451138838431,9.656654482409273,0.09,0.0,-0.656645113883843,9.656654482409273,0.0,0.0,0.0,0.0,0.0,4.899358091618412,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,0.0,100,0.3578859251239088,8.876027233411069,0.0,0.0,0.3578859251239088,8.876027233411069,0.09,0.0,0.2678859251239089,8.876027233411069,0.0,0.0,0.0,0.0,0.0,4.802077449839005,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,0.0,200,0.7150870931018996,9.055580105813586,0.0,0.0,0.7150870931018996,9.055580105813586,0.09,0.0,0.6250870931018997,9.055580105813586,0.0,0.0,0.0,0.0,0.0,4.970295465193474,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,1.0,20,-0.6361202688488237,9.181749036402152,106.83029187288645,161.82760196589933,-107.46641214173528,161.96207067705467,0.09,0.0,-107.55641214173528,161.96207067705467,10.87,0.135875,0.066942021310771,0.13331896026389706,0.0676396815094843,5.420469113215327,0.0,0.0,0.0,0.0,0.0,0.0
Dot,unstructured,1.0,50,-1.1190927509848447,8.9851997929665,83.39911074090189,104.60003314840016,-84.51820349188674,104.84405526961207,0.09,0.0,-84.60820349188674,104.84405526961204,3.71,0.046375,0.03129643015431697,0.046841632206392,0.03224117973040726,4.896062705693834,0.0,0.0,0.0,0.0,0.0,0.0
