seed,agent,K,F,T,stakes,structure,total_reward,total_penalty,utility,cognitive_cost,cost_adjusted_utility,dual_picks,dual_rate,dual_rate_cond,E_abs_mean,expansions,contractions,revisions,contract_evals,steps_factor,steps_tabular
0,Network-NoContract,20,5,80,1.0,structured,80.94448515971321,0.026494811763725284,80.91799034794948,1.617,79.30099034794948,51.0,0.6375,0.5476190476190477,0.6380774590009833,0.0,0.0,0.0,0.0,80.0,0.0
0,Network-NoTest,20,5,80,1.0,structured,85.83008059506506,0.12758106696229665,85.70249952810276,1.646,84.05649952810276,31.0,0.3875,0.07692307692307693,0.6095271482887087,0.0,0.0,0.0,0.0,80.0,0.0
0,Network-NoUpdate,20,5,80,1.0,structured,86.44558122604298,0.005655451844262249,86.43992577419871,1.623,84.81692577419871,36.0,0.45,0.35714285714285715,0.3469802848149671,0.0,0.0,0.0,0.0,80.0,0.0
0,UCB1,20,5,80,1.0,structured,71.80332501524317,38.8346930710613,32.96863194418187,2.02,30.948631944181873,36.0,0.45,0.4444444444444444,3.093308067439702,0.0,0.0,0.0,0.0,0.0,0.0
0,HierBayes,20,5,80,1.0,structured,97.77393861162665,239.0512725488327,-141.27733393720607,2.018,-143.29533393720607,50.0,0.625,0.6351351351351351,5.757849904496288,0.0,0.0,0.0,0.0,80.0,0.0
0,RW-Feature,20,5,80,1.0,structured,96.53303019123439,682.5829848900629,-586.0499546988285,1.041,-587.0909546988286,73.0,0.9125,0.9240506329113924,13.698073333483602,0.0,0.0,0.0,0.0,80.0,0.0
0,LatentFactorEM,20,5,80,1.0,structured,83.25407189229975,632.0996769330264,-548.8456050407267,11.45,-560.2956050407267,0.0,0.0,0.0,12.631613055964342,0.0,0.0,0.0,0.0,80.0,0.0
0,Dot,20,5,80,1.0,unstructured,4.1196224232598055,47.35678940025326,-43.23716697699346,0.09,-43.32716697699346,10.0,0.125,0.13333333333333333,5.502038982680341,0.0,0.0,0.0,0.0,0.0,0.0
0,Linear,20,5,80,1.0,unstructured,104.77964289215795,1940.8102850366784,-1836.0306421445205,2.305,-1838.3356421445205,0.0,0.0,0.0,16.00247399841363,0.0,0.0,0.0,0.0,0.0,0.0
0,Thompson-Factor,20,5,80,1.0,unstructured,98.6532155938671,5023.7196494802465,-4925.06643388638,1.044,-4926.11043388638,76.0,0.95,0.9743589743589743,34.98777951433967,0.0,0.0,0.0,0.0,80.0,0.0
